主层级,细分,来源网站,概念/题材,标的,代码,市场,来源页面,来源日期,来源等级,当前等级,第一变量,样本角色,下一步回源,证伪点,备注
终端与具身智能,人形机器人,东方财富,人形机器人,均胜电子,600699,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
计算芯片,英伟达概念,东方财富,英伟达概念,均胜电子,600699,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1161,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口；需二次纯度清洗
高速互联,光通信模块,东方财富,光通信模块,均胜电子,600699,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1136,2026-07-05,B/C级页面线索,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,物产中大,600704,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,物产中大,600704,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,东软集团,600718,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,东软集团,600718,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
应用平台,ChatGPT概念,东方财富,ChatGPT概念,东软集团,600718,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1126,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
应用平台,AI制药（医疗）,东方财富,AI制药（医疗）,佳都科技,600728,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1170,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,佳都科技,600728,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
计算芯片,华为昇腾,东方财富,华为昇腾,佳都科技,600728,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0995,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
应用平台,AI应用,东方财富,AI应用,*ST高科,600730,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1629,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,*ST实达,600734,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
云与算力运营,算力概念,东方财富,算力概念,*ST实达,600734,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1134,2026-07-05,B/C级页面线索,L0/L1,合同交付、起租、利用率、回款、OCF,题材外溢/低纯度观察,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口；需二次纯度清洗
应用平台,AI智能体,东方财富,AI智能体,*ST实达,600734,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0809,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
云与算力运营,云计算,东方财富,云计算,*ST实达,600734,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0579,2026-07-05,B/C级页面线索,L0/L1,合同交付、起租、利用率、回款、OCF,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,苏州高新,600736,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,富维股份,600742,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
晶圆制造与材料,第三代半导体,东方财富,第三代半导体,*ST闻泰,600745,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0952,2026-07-05,B/C级页面线索,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,浪潮软件,600756,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,综艺股份,600770,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,南京熊猫,600775,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,浙大网新,600797,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,悦达投资,600805,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
数据层,AI语料,东方财富,AI语料,新华传媒,600825,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1172,2026-07-05,B/C级页面线索,L0/L1,数据授权、采集/清洗、客户、合规与付费,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
终端与具身智能,减速器,东方财富,减速器,上海机电,600835,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1100,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,上海机电,600835,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,四川长虹,600839,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,四川长虹,600839,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,四川长虹,600839,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,上工申贝,600843,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,人形机器人,东方财富,人形机器人,宝信软件,600845,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,宝信软件,600845,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,宝信软件,600845,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,电科数字,600850,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
应用平台,AI制药（医疗）,东方财富,AI制药（医疗）,电科数字,600850,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1170,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,电科数字,600850,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,电科数字,600850,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,航天长峰,600855,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,京城股份,600860,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,人形机器人,东方财富,人形机器人,远东股份,600869,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,远东股份,600869,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
计算芯片,国产芯片,东方财富,国产芯片,航天电子,600879,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0891,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,博瑞传播,600880,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
数据中心与基础设施,数据中心,东方财富,数据中心,宏发股份,600885,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0922,2026-07-05,B/C级页面线索,L0/L1,机柜资源、上架率、利用率、融资成本,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口
终端与具身智能,人形机器人,东方财富,人形机器人,*ST京化,600889,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,*ST京化,600889,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,广日股份,600894,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,广日股份,600894,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,张江高科,600895,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,爱柯迪,600933,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,江苏有线,600959,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,渤海汽车,600960,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,人形机器人,东方财富,人形机器人,内蒙一机,600967,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,内蒙一机,600967,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,内蒙一机,600967,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,海油发展,600968,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,中国电影,600977,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,北矿科技,600980,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
云与算力运营,云计算,东方财富,云计算,贵广网络,600996,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0579,2026-07-05,B/C级页面线索,L0/L1,合同交付、起租、利用率、回款、OCF,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,九州通,600998,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,九州通,600998,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,四方股份,601126,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,四方股份,601126,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,赛力斯,601127,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,博威合金,601137,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,AI手机,东方财富,AI手机,博威合金,601137,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1162,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,工业富联,601138,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,工业富联,601138,A股-沪市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
